sid,course,term,grade
108933,INFO 2200,Spring 2025,D
109441,INFO 1100,Spring 2025,A
102076,DSCI 3210,Fall 2024,C
106381,CSEC 3220,Spring 2025,D
106185,CSEC 3220,Fall 2024,B
106929,CSEC 3220,Spring 2025,B
107161,INFO 1100,Fall 2023,F
103984,INFO 3340,Spring 2025,F
101499,INFO 1100,Fall 2024,D
102154,INFO 2200,Spring 2025,A
100159,BUAN 2010,Spring 2025,B
100719,INFO 1100,Spring 2024,F
105588,INFO 3600,Fall 2024,A
103260,INFO 1100,Fall 2023,B
107786,INFO 1100,Fall 2024,B
109895,INFO 1100,Fall 2023,B
105967,ITEC 2010,Fall 2024,B
108837,INFO 4300,Fall 2024,B
103019,INFO 2200,Spring 2025,W
102268,CSEC 2100,Spring 2025,D
105468,DSCI 3210,Spring 2025,B
102223,INFO 2200,Spring 2024,W
105216,CSEC 2100,Spring 2024,C
101070,LTEC 3120,Fall 2023,B
103664,INFO 1100,Spring 2025,B
104972,CSEC 4110,Fall 2023,C
108077,INFO 2600,Spring 2024,A
108211,CSEC 2100,Spring 2024,D
100292,INFO 2200,Spring 2024,B
100482,INFO 1100,Fall 2024,B
101317,LTEC 3120,Spring 2024,C
108387,INFO 2600,Fall 2024,C
102090,ITEC 2010,Fall 2024,A
103086,INFO 1100,Fall 2023,B
101374,INFO 1100,Fall 2023,F
107691,INFO 2200,Fall 2024,W
109053,INFO 2200,Spring 2024,C
107505,INFO 1100,Spring 2025,D
100287,INFO 4300,Spring 2025,B
102963,INFO 2200,Spring 2024,C
104299,INFO 1100,Fall 2024,B
104358,INFO 1100,Fall 2023,B
103698,CSEC 2100,Spring 2024,C
108060,CSEC 2100,Spring 2025,A
100913,DSCI 4160,Fall 2024,C
102950,CSEC 3220,Spring 2025,B
109340,INFO 1100,Spring 2025,B
101122,DSCI 3210,Spring 2025,A
107267,INFO 1100,Spring 2025,W
103785,INFO 2200,Fall 2023,A
103832,BUAN 2010,Fall 2023,C
105632,INFO 1100,Fall 2024,B
109586,INFO 4300,Fall 2024,B
107993,INFO 1100,Fall 2023,A
107010,INFO 2200,Spring 2025,B
102726,INFO 2600,Spring 2024,A
100026,INFO 3340,Fall 2024,C
102247,INFO 2200,Spring 2025,A
100128,ITEC 3010,Spring 2025,B
108239,INFO 1100,Spring 2025,C
105779,INFO 2200,Spring 2025,B
103004,INFO 2200,Spring 2025,W
103229,DSCI 4160,Fall 2023,A
100815,CSEC 2100,Spring 2025,B
109762,INFO 2600,Fall 2024,A
107425,INFO 4300,Spring 2024,W
107610,CSEC 2100,Spring 2024,B
109799,INFO 2600,Spring 2024,A
109666,CSEC 3220,Fall 2023,C
101141,CSEC 2100,Fall 2024,A
107276,CSEC 3220,Fall 2024,B
105164,INFO 1100,Spring 2024,C
108602,ITEC 2010,Fall 2024,W
109006,INFO 2200,Spring 2024,A
100531,INFO 1100,Spring 2024,C
103973,DSCI 3210,Spring 2024,C
105577,DSCI 4160,Spring 2024,A
101259,INFO 4300,Fall 2024,B
101768,INFO 1100,Fall 2024,D
107507,INFO 2600,Fall 2024,A
102073,BUAN 3310,Fall 2024,F
105093,CSEC 2100,Fall 2023,B
102268,INFO 2200,Spring 2025,W
103842,INFO 2200,Spring 2025,W
101178,CSEC 4110,Fall 2023,A
103761,INFO 2200,Spring 2024,A
108783,DSCI 3210,Spring 2024,B
105936,INFO 4300,Spring 2024,A
103257,DSCI 4160,Fall 2023,A
104775,INFO 1100,Spring 2024,C
102438,INFO 4300,Spring 2024,C
105356,CSEC 2100,Spring 2024,B
102859,LTEC 2100,Fall 2023,A
100683,CSEC 2100,Fall 2024,C
108751,CSEC 2100,Spring 2025,B
108902,INFO 1100,Spring 2024,C
109202,INFO 2600,Fall 2024,B
100235,LTEC 2100,Spring 2025,F
105261,INFO 1100,Fall 2023,B
106649,INFO 2600,Fall 2024,B
105447,INFO 1100,Fall 2023,C
106744,CSEC 4110,Spring 2025,A
106500,INFO 1100,Spring 2024,B
101996,DSCI 4160,Fall 2023,D
106165,CSEC 2100,Fall 2024,A
107961,DSCI 3210,Fall 2023,C
104124,INFO 3340,Spring 2024,B
104976,INFO 1100,Fall 2023,W
101960,INFO 1100,Spring 2024,B
106537,INFO 1100,Spring 2024,A
101081,INFO 1100,Spring 2024,F
101672,INFO 1100,Spring 2024,B
103012,INFO 1100,Fall 2023,B
106924,CSEC 2100,Fall 2023,A
105287,INFO 1100,Fall 2023,A
105896,BUAN 3310,Fall 2024,A
101735,INFO 1100,Spring 2024,B
104836,ITEC 3010,Spring 2024,W
105921,INFO 1100,Fall 2023,A
106905,INFO 2200,Fall 2024,B
108341,INFO 2600,Spring 2025,B
106983,INFO 2200,Fall 2024,B
100133,CSEC 2100,Fall 2023,D
101519,INFO 3600,Fall 2023,A
101358,DSCI 4160,Spring 2025,C
102410,INFO 1100,Spring 2025,A
106263,DSCI 3210,Fall 2023,C
106328,INFO 2200,Spring 2025,A
109641,CSEC 4110,Fall 2024,A
108938,INFO 1100,Spring 2025,A
108840,CSEC 4110,Fall 2023,C
101623,INFO 1100,Spring 2024,D
103050,CSEC 4110,Fall 2023,A
106229,CSEC 2100,Spring 2025,F
100633,INFO 2200,Fall 2024,C
102291,INFO 1100,Fall 2024,A
109441,ITEC 2010,Spring 2025,B
106740,INFO 1100,Fall 2024,A
101481,CSEC 2100,Fall 2023,B
107639,INFO 2200,Fall 2024,B
101672,INFO 3340,Spring 2025,C
108043,INFO 1100,Spring 2024,B
103389,INFO 2200,Fall 2024,C
100980,INFO 3600,Spring 2025,A
103962,INFO 2200,Fall 2023,A
105945,LTEC 2100,Fall 2023,A
105029,INFO 1100,Fall 2023,A
106986,CSEC 4110,Spring 2025,A
104157,INFO 1100,Fall 2023,C
102222,CSEC 2100,Fall 2023,B
108599,INFO 2200,Fall 2024,B
101610,INFO 2200,Fall 2024,A
107049,INFO 3340,Fall 2024,B
108293,INFO 1100,Fall 2024,B
109399,INFO 2200,Spring 2024,A
107504,LTEC 3120,Fall 2024,A
103525,INFO 4300,Spring 2025,B
103247,CSEC 2100,Spring 2024,F
108686,CSEC 2100,Spring 2025,A
105793,DSCI 3210,Fall 2024,B
103386,INFO 2600,Spring 2024,B
104973,INFO 2200,Spring 2025,B
103973,INFO 3340,Spring 2024,A
100338,INFO 1100,Fall 2024,B
101883,INFO 2200,Fall 2024,B
100783,DSCI 3210,Spring 2025,B
106890,INFO 1100,Spring 2025,B
108943,ITEC 3010,Fall 2024,A
106780,LTEC 3120,Fall 2023,A
101342,INFO 4300,Spring 2025,C
102536,DSCI 3210,Fall 2023,A
104997,ITEC 2010,Fall 2023,B
106758,INFO 1100,Fall 2023,F
109236,LTEC 3120,Spring 2025,C
105843,LTEC 2100,Spring 2024,C
103708,INFO 2600,Spring 2024,B
101947,INFO 1100,Spring 2025,B
102073,INFO 1100,Fall 2024,C
102063,INFO 1100,Fall 2023,A
100315,INFO 1100,Spring 2024,C
108076,CSEC 4110,Spring 2024,A
101130,INFO 4300,Fall 2024,D
101332,INFO 2200,Fall 2024,A
109610,INFO 2200,Fall 2024,B
101104,BUAN 2010,Spring 2025,B
105218,INFO 1100,Spring 2025,B
101768,INFO 3340,Fall 2024,A
100621,INFO 2600,Spring 2025,B
101288,INFO 1100,Spring 2024,A
101226,INFO 2200,Spring 2024,B
108036,INFO 1100,Spring 2025,A
100762,CSEC 4110,Fall 2024,C
107843,INFO 2200,Fall 2024,A
106954,INFO 1100,Fall 2024,A
103214,LTEC 3120,Spring 2024,A
