student_id,major,age,housing,commute_miles,work_hours_per_week,advisor_meetings,credits_attempted,final_gpa,study_hours_reported,enrollment_date,dropped_out,housing_clean,minutes_active,study_z,gpa_band
101508,Data Science,27,Off-Campus,7.6,15,1,81,1.86,,2023-09-13,1,Off-Campus,2750,,"(1.0, 2.0]"
102438,Learning Technologies,25,With Family,14.3,35,1,100,2.06,9.5,2023-10-19,0,With Family,2792,-0.25181703064225747,"(2.0, 3.0]"
102385,Learning Technologies,26,With Family,3.4,18,9,77,3.41,19.1,2022-11-16,0,With Family,5024,2.241894620553105,"(3.0, 4.0]"
100767,Cyber Security,22,On-Campus,23.7,40,1,65,1.73,8.1,2024-05-03,0,On-Campus,2719,-0.6154833131082479,"(1.0, 2.0]"
106054,Information Technology,21,Off-Campus,2.3,20,4,59,2.37,6.6,2022-10-24,0,Off-Campus,2916,-1.0051257586075233,"(2.0, 3.0]"
108827,Data Science,25,Off-Campus,21.5,18,2,2,1.62,7.7,2023-10-15,0,Off-Campus,2505,-0.7193879652413879,"(1.0, 2.0]"
102295,Cybersecurity,22,Off-Campus,11.8,20,1,57,0.0,2.9,2022-12-13,1,Off-Campus,1232,-1.966243790839069,"(-0.01, 1.0]"
107954,Information Technology,24,With Family,6.0,25,0,22,2.71,15.1,2023-08-25,0,With Family,4252,1.2028480992217039,"(2.0, 3.0]"
101674,Cybersecurity,28,Off-Campus,4.5,25,3,45,3.06,13.4,2024-03-06,0,Off-Campus,4239,0.7612533276558586,"(3.0, 4.0]"
102682,Information Technology,22,Off-Campus,10.3,28,1,96,2.46,10.2,2023-12-15,0,Off-Campus,3152,-0.06998388940926249,"(2.0, 3.0]"
105635,Data Science,20,Off-Campus,28.5,20,1,85,1.97,,2023-09-10,0,Off-Campus,2145,,"(1.0, 2.0]"
102227,Data Science,24,Off-Campus,4.2,0,4,31,2.97,10.8,2022-09-29,0,Off-Campus,3789,0.08587308879044803,"(2.0, 3.0]"
101532,Cybersecurity,22,on-campus,13.8,20,3,43,1.96,5.4,2022-11-07,0,On-Campus,2294,-1.3168397150069435,"(1.0, 2.0]"
109351,Business Analytics,20,On-Campus,2.4,25,2,98,2.28,11.2,2022-12-20,0,On-Campus,3568,0.18977774092358776,"(2.0, 3.0]"
103967,Learning Technologies,20,On-Campus,3.2,15,4,57,1.44,10.0,2024-05-13,0,On-Campus,2983,-0.12193621547583236,"(1.0, 2.0]"
109666,Cybersecurity,22,With Family,7.4,28,0,29,0.0,,2022-09-09,0,With Family,1064,,"(-0.01, 1.0]"
108538,Learning Technologies,24, On-Campus,15.2,20,3,0,0.0,9.3,2025-01-20,0,On-Campus,2536,-0.3037693567088274,"(-0.01, 1.0]"
101387,Information Science,21,With Family,7.3,25,2,54,2.48,8.1,2023-10-26,1,With Family,2867,-0.6154833131082479,"(2.0, 3.0]"
102364,Information Science,23,Off-Campus,6.7,20,6,81,3.54,15.9,2024-04-23,0,Off-Campus,4568,1.4106574034879842,"(3.0, 4.0]"
100500,Cybersecurity,22,On-Campus,18.7,10,3,61,2.73,13.3,2023-09-11,1,On-Campus,3639,0.7352771646225736,"(2.0, 3.0]"
100837,Business Analytics,25,On-Campus,28.4,18,3,41,1.77,9.6,2022-09-22,0,On-Campus,2865,-0.22584086760897257,"(1.0, 2.0]"
108628,Cybersecurity,24,Off-Campus,16.2,12,5,81,2.04,7.4,2022-10-14,0,Off-Campus,2794,-0.7973164543412429,"(2.0, 3.0]"
108099,Information Technology,25,Off-Campus,4.3,0,1,55,2.27,11.0,2024-03-15,0,Off-Campus,3183,0.13782541485701788,"(2.0, 3.0]"
107135,Information Science,29,On-Campus,3.6,40,2,0,0.0,3.4,2025-01-20,0,On-Campus,1985,-1.8363629756726438,"(-0.01, 1.0]"
109116,Cybersecurity,22,on-campus,4.5,20,1,75,3.02,7.9,2024-05-04,0,On-Campus,3489,-0.6674356391748179,"(3.0, 4.0]"
104466,Cybersecurity,25,off campus,5.0,10,4,63,2.53,8.3,2024-02-19,1,Off-Campus,2872,-0.5635309870416776,"(2.0, 3.0]"
107618,Information Science,22,With Family,4.0,5,3,29,3.27,11.8,2022-09-24,0,With Family,4462,0.3456347191232983,"(3.0, 4.0]"
105906,Information Science,25,Off-campus,15.1,10,4,2,2.31,9.6,2022-12-04,0,Off-Campus,3531,-0.22584086760897257,"(2.0, 3.0]"
109564,Information Technology,28,Off-Campus,29.3,30,1,49,1.88,9.9,2023-10-08,0,Off-Campus,3652,-0.1479123785091173,"(1.0, 2.0]"
108999,Information Science,21,On-Campus,10.7,30,2,51,2.33,14.9,2023-09-29,0,On-Campus,3863,1.150895773155134,"(2.0, 3.0]"
108654,Information Technology,23,With Family,7.6,20,5,69,2.76,13.4,2023-10-16,0,With Family,4050,0.7612533276558586,"(2.0, 3.0]"
105893,Information Science,22,With Family,10.8,25,1,33,2.75,12.8,2023-12-06,0,With Family,3578,0.6053963494561485,"(2.0, 3.0]"
100101,Cybersecurity,22,On-Campus,5.1,18,2,49,2.24,8.1,2024-03-14,0,On-Campus,3124,-0.6154833131082479,"(2.0, 3.0]"
109641,Cybersecurity,23,Off-Campus,7.9,35,4,35,2.42,12.5,2024-04-08,0,Off-Campus,4126,0.5274678603562932,"(2.0, 3.0]"
101130,Learning Technologies,0,with family,37.2,12,1,43,1.65,0.5,2022-09-22,1,With Family,770,-2.5896717036379098,"(1.0, 2.0]"
107610,Cybersecurity,25,on-campus,4.5,0,1,29,2.83,13.3,2023-11-13,1,On-Campus,4463,0.7352771646225736,"(2.0, 3.0]"
100021,Business Analytics,23,Off-Campus,16.3,28,3,33,1.4,2.3,2023-08-24,0,Off-Campus,2042,-2.122100769038779,"(1.0, 2.0]"
108470,Cybersecurity,23,Off-Campus,7.5,18,4,15,3.2,12.5,2022-11-26,0,Off-Campus,5174,0.5274678603562932,"(3.0, 4.0]"
103104,Information Technology,27,On-Campus,38.3,0,4,40,2.39,,2024-05-05,0,On-Campus,3646,,"(2.0, 3.0]"
102986,Data Science,22,With Family,20.0,18,2,45,1.84,5.6,2024-02-17,0,With Family,2779,-1.2648873889403736,"(1.0, 2.0]"
103481,Information Science,28,On-Campus,29.0,20,1,21,2.29,10.2,2022-10-05,1,On-Campus,3197,-0.06998388940926249,"(2.0, 3.0]"
108751,Information Technology,32,On-Campus,34.7,18,2,50,2.12,9.2,2023-10-10,0,On-Campus,3056,-0.32974551974211275,"(2.0, 3.0]"
102734,Information Technology,27,On-Campus,5.8,12,3,28,2.79,8.7,2024-02-09,0,On-Campus,3203,-0.4596263349085379,"(2.0, 3.0]"
103229,DataScience,26,Off-Campus,4.6,30,1,60,3.03,17.9,2022-09-01,0,Off-Campus,4112,1.9301806641536843,"(3.0, 4.0]"
103924,Information Science,29,Off-Campus,13.1,18,4,74,3.04,10.2,2024-03-24,0,Off-Campus,3591,-0.06998388940926249,"(3.0, 4.0]"
108818,Information Technology,30,On-Campus,5.3,25,3,8,2.8,11.3,2024-05-05,0,On-Campus,3695,0.21575390395687313,"(2.0, 3.0]"
100863,Cybersecurity,23,On-Campus,9.8,18,4,93,3.02,13.6,2024-04-15,0,On-Campus,4528,0.8132056537224285,"(3.0, 4.0]"
103940,Information  Science,23,off campus,13.3,0,3,29,3.55,12.1,2024-05-24,0,Off-Campus,4952,0.4235632082231531,"(3.0, 4.0]"
100895,Cybersecurity,31,With Family,14.1,30,2,63,3.24,13.3,2022-12-17,0,With Family,3626,0.7352771646225736,"(3.0, 4.0]"
106691,Information Science,26,On-Campus,8.6,20,7,70,2.25,8.5,2023-09-30,1,On-Campus,3534,-0.5115786609751077,"(2.0, 3.0]"
103525,Learning Technologies,22,Off-Campus,16.9,15,1,26,2.74,15.4,2024-02-05,0,Off-Campus,4231,1.2807765883215592,"(2.0, 3.0]"
102705,Business Analytics,20,Off-Campus,25.3,15,4,86,2.07,11.9,2024-02-17,0,Off-Campus,2863,0.3716108821565832,"(2.0, 3.0]"
102946,Data Science,25,With Family,6.6,25,2,93,1.6,6.3,2022-12-14,0,With Family,2475,-1.0830542477073783,"(1.0, 2.0]"
