student_id,week,lms_clicks,minutes_active
NU-101028,1,420,260
NU-101028,2,388,255
NU-101028,3,544,340
NU-101028,4,498,311
NU-101028,5,319,266
NU-101028,6,402,258
NU-101028,7,534,278
NU-101028,8,384,241
NU-101028,9,179,88
NU-101028,10,265,243
NU-101028,11,471,280
NU-101028,12,619,311
NU-101028,13,236,162
NU-101028,14,426,326
NU-101028,15,358,305
NU-101028,16,278,207
NU-103508,1,450,225
NU-103508,2,348,221
NU-103508,3,347,214
NU-103508,4,385,220
NU-103508,5,252,243
NU-103508,6,323,212
NU-103508,7,449,261
NU-103508,8,350,275
NU-103508,9,102,71
NU-103508,10,341,258
NU-103508,11,344,237
NU-103508,12,266,156
NU-103508,13,261,147
NU-103508,14,384,239
NU-103508,15,313,204
NU-103508,16,279,170
NU-104305,1,403,193
NU-104305,2,336,205
NU-104305,3,351,265
NU-104305,4,280,224
NU-104305,5,257,225
NU-104305,6,537,241
NU-104305,7,386,210
NU-104305,8,304,233
NU-104305,9,72,48
NU-104305,10,601,277
NU-104305,11,328,200
NU-104305,12,427,191
NU-104305,13,246,206
NU-104305,14,358,261
NU-104305,15,373,217
NU-104305,16,308,180
NU-100895,1,491,297
NU-100895,2,337,239
NU-100895,3,505,269
NU-100895,4,442,279
NU-100895,5,173,126
NU-100895,6,300,219
NU-100895,7,239,203
NU-100895,8,376,249
NU-100895,9,116,76
NU-100895,10,299,288
NU-100895,11,249,165
NU-100895,12,409,238
NU-100895,13,392,232
NU-100895,14,280,220
NU-100895,15,214,233
NU-100895,16,488,293
NU-108424,1,490,270
NU-108424,2,208,224
NU-108424,3,371,290
NU-108424,4,388,282
NU-108424,5,363,196
NU-108424,6,547,309
NU-108424,7,678,358
NU-108424,8,395,254
NU-108424,9,211,118
NU-108424,10,327,193
NU-108424,11,375,242
NU-108424,12,290,250
NU-108424,13,437,240
NU-108424,14,422,220
NU-108424,15,462,304
NU-108424,16,432,289
NU-106717,1,186,138
NU-106717,2,230,136
NU-106717,3,290,176
NU-106717,4,291,163
NU-106717,5,245,156
NU-106717,6,211,124
NU-106717,7,196,196
NU-106717,8,191,180
NU-106717,9,84,54
NU-106717,10,163,130
NU-106717,11,185,130
NU-106717,12,338,205
NU-106717,13,293,184
NU-106717,14,154,127
NU-106717,15,190,129
NU-106717,16,376,212
NU-108065,1,363,229
NU-108065,2,453,262
NU-108065,3,525,291
NU-108065,4,501,307
NU-108065,5,362,191
NU-108065,6,479,259
NU-108065,7,322,204
NU-108065,8,339,222
NU-108065,9,209,118
NU-108065,10,376,264
NU-108065,11,459,267
NU-108065,12,482,267
NU-108065,13,463,290
NU-108065,14,389,201
NU-108065,15,384,228
NU-108065,16,425,235
NU-100366,1,146,175
NU-100366,2,265,196
NU-100366,3,166,190
NU-100366,4,254,163
NU-100366,5,353,158
NU-100366,6,151,151
NU-100366,7,322,186
NU-100366,8,332,219
NU-100366,9,137,79
NU-100366,10,395,210
NU-100366,11,361,222
NU-100366,12,256,200
NU-100366,13,356,182
NU-100366,14,258,155
NU-100366,15,392,203
NU-100366,16,308,161
NU-103880,1,438,270
NU-103880,2,372,234
NU-103880,3,359,214
NU-103880,4,408,243
NU-103880,5,447,213
NU-103880,6,290,229
NU-103880,7,461,257
NU-103880,8,212,111
NU-103880,9,182,117
NU-103880,10,364,235
NU-103880,11,391,179
NU-103880,12,537,254
NU-103880,13,511,237
NU-103880,14,456,218
NU-103880,15,327,269
NU-103880,16,217,201
NU-103050,1,323,195
NU-103050,2,377,277
NU-103050,3,362,230
NU-103050,4,387,222
NU-103050,5,334,221
NU-103050,6,394,261
NU-103050,7,224,202
NU-103050,8,278,154
NU-103050,9,136,92
NU-103050,10,390,174
NU-103050,11,340,168
NU-103050,12,376,195
NU-103050,13,358,277
NU-103050,14,391,252
