student_id,major,age,housing,commute_miles,work_hours_per_week,advisor_meetings,credits_attempted,final_gpa,study_hours_reported,enrollment_date,dropped_out
NU-101508,Data Science,27,Off-Campus,7.6,15,1,81,1.86,,2023-09-13,1
NU-102438,Learning Technologies,25,With Family,14.3,35,1,100,2.06,9.5,2023-10-19,0
NU-102385,Learning Technologies,26,With Family,3.4,18,9,77,3.41,19.1,11/16/2022,0
NU-100767,Cyber Security,22,On-Campus,23.7,40,1,65,1.73,8.1,2024-05-03,0
NU-106054,Information Technology,21,Off-Campus,2.3,20,4,59,2.37,6.6,10/24/2022,0
NU-108827,Data Science,25,Off-Campus,21.5,18,2,2,1.62,7.7,2023-10-15,0
NU-102295,Cybersecurity,22,Off-Campus,11.8,20,1,57,0.0,2.9,12/13/2022,1
NU-107954,Information Technology,24,With Family,6.0,25,0,22,2.71,15.1,25-Aug-2023,0
NU-101674,Cybersecurity,28,Off-Campus,4.5,25,3,45,3.06,13.4,03/06/2024,0
NU-102682,Information Technology,22,Off-Campus,10.3,28,1,96,2.46,10.2,12/15/2023,0
NU-105635,Data Science,20,Off-Campus,28.5,20,1,85,1.97,,2023-09-10,0
NU-102227,Data Science,24,Off-Campus,4.2,0,4,31,2.97,10.8,29-Sep-2022,0
NU-101532,Cybersecurity,22,on-campus,13.8,20,3,43,1.96,5.4,11/07/2022,0
NU-109351,Business Analytics,20,On-Campus,2.4,25,2,98,2.28,11.2,2022-12-20,0
NU-103967,Learning Technologies,20,On-Campus,3.2,15,4,57,1.44,10.0,05/13/2024,0
NU-109666,Cybersecurity,22,With Family,7.4,28,0,29,0.0,,09/09/2022,0
NU-108538,Learning Technologies,24, On-Campus,15.2,20,3,0,0.0,9.3,01/20/2025,0
NU-101387,Information Science,21,With Family,7.3,25,2,54,2.48,8.1,26-Oct-2023,1
NU-102364,Information Science,23,Off-Campus,6.7,20,6,81,3.54,15.9,04/23/2024,0
NU-100500,Cybersecurity,22,On-Campus,18.7,10,3,61,2.73,13.3,09/11/2023,1
NU-100837,Business Analytics,25,On-Campus,28.4,18,3,41,1.77,9.6,09/22/2022,0
NU-108628,Cybersecurity,24,Off-Campus,16.2,12,5,81,2.04,7.4,2022-10-14,0
NU-108099,Information Technology,25,Off-Campus,4.3,0,1,55,2.27,11.0,03/15/2024,0
NU-107135,Information Science,29,On-Campus,3.6,40,2,0,0.0,3.4,01/20/2025,0
NU-109116,Cybersecurity,22,on-campus,4.5,20,1,75,3.02,7.9,05/04/2024,0
NU-104466,Cybersecurity,25,off campus,5.0,10,4,63,2.53,8.3,02/19/2024,1
NU-107618,Information Science,22,With Family,4.0,5,3,29,3.27,11.8,09/24/2022,0
NU-105906,Information Science,25,Off-campus,15.1,10,4,2,2.31,9.6,04-Dec-2022,0
NU-109564,Information Technology,28,Off-Campus,29.3,30,1,49,1.88,9.9,10/08/2023,0
NU-108999,Information Science,21,On-Campus,10.7,30,2,51,2.33,14.9,2023-09-29,0
NU-108654,Information Technology,23,With Family,7.6,20,5,69,2.76,13.4,16-Oct-2023,0
